0x11c	65
0x12d	66
0x12b	67
0x11e 68
0x111 69
0x11f 70
0x120 71
0x121 72
0x116 73
0x122 74
0x123 75
0x124 76
0x12f 77
0x12e 78
0x19d 78
0x117 79
0x118 80
0x10f 81
0x112 82
0x11d 83
0x113 84
0x115 85
0x12c 86
0x110 87
0x12a 88
0x114 89
0x129 90
0x101	49
0x102 50
0x103 51
0x104 52
0x105 53
0x106 54
0x107 55
0x108 56
0x109 57
0x10a 48
0x48  49
0x49  50
0x4a  51
0x45  52
0x46  53
0x47  54
0x42  55
0x43  56
0x44  57
0x4b  48
0x4c	48
0x10	112
0x11  47
0x12  47
0x13  47
0x14  47
0x15  190
0x16  188
0x17  47
0x18  47
0x19  47
0x1a  47
0x1b  123
0xf 27
0xe	9
0x133 32
0x10d	8
0x3d	10
0x32	10
0x24	38
0x25	40
0x20	37
0x2a	39
0x1c  155
0x1d  127
0x21 36
0x22 35
0x26 33
0x27 34
0x29 8
0x2b 9
0x2c 106
0x2e 113
0x30 116
0x2f 118
0x31 10
0x3c 124
0x2d 111
0x33 119
0x34 47
0x36 47
0x38 47
0x39 120
0x3a 114
0x4d 46
0x131 46
0x130 44
0x28 47
0x142 64
0x15c 65
0x16d 66
0x16b 67
0x15e 68
0x151 69
0x15f 70
0x160 71
0x161 72
0x156 73
0x162 74
0x163 75
0x164 76
0x16f 77
0x16e 78
0x157 79
0x158 80
0x14f 81
0x152 82
0x15d 83
0x153 84
0x155 85
0x16c 86
0x150 87
0x16a 88
0x154 89
0x169 90
0x141 47
0x166 47
0x1ca 47
0x144 47
0x35  47
0x147 326
0x132 47
0x149 47
0x14a 47
0x10c 47
0x172 47
0x1a1 47
0x126 47
0x1a5 47
0x14c 47
0x19d 47
0x10b 45
0x170 47
0x171 47
0x148 47
0x19e 47
0x125 47
0x165 47
0x14b 95
0x167 47
0x143 47
0x119 47
0x11a 47
0x159 47
0x15a 47
0x127 47
0x1a0 47
0x19f 47
0x181 47
0x187 47
0x145 47
0xd1  189
0x7a  47
0x79  47
0x6f  47
0x70  47
0x71  47
0x72  47
0x1da 47
0xda  2218
0xdb  2219
0xa 47
0x90 187
0x73  184
0x92 191
